link,price_eur,region,sqm,floor,elevator,rooms,summary
https://www.imovirtual.com/pt/anuncio/apartamento-t2-av-de-francelos-sd-04624-co-ID1id9i,310000,"Avenida de Francelos - Gulpilhares, Francelos, Gulpilhares e Valadares, Vila Nova de Gaia, Porto",100,,não,T2,"Apartamento t2, Av de Francelos SD/04624/CO"
https://www.imovirtual.com/pt/anuncio/t2-renovado-com-vista-mar-e-varanda-a-sul-aviz-ID1ibhv,700000,"Rua José Gomes Ferreira, Aviz - Cristo Rei, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",128,9,sim,T2,T2 renovado com vista mar e varanda a sul | Aviz
https://www.imovirtual.com/pt/anuncio/t4-c-vista-mar-varanda-foz-do-douro-ID1ibG3,890000,"Rua Diu, Foz Velha, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",174,3,sim,T4,T4 c/ Vista Mar | Varanda | Foz do Douro
https://www.imovirtual.com/pt/anuncio/apartamento-t2-avenida-de-francelos-ID1id9a,310000,"Avenida de Francelos - Gulpilhares, Francelos, Gulpilhares e Valadares, Vila Nova de Gaia, Porto",100,,não,T2,"Apartamento T2, Avenida  de Francelos"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-leca-da-palmeira-ID1id96,265000,"Monte Espinho - Zona Industrial, Matosinhos e Leça da Palmeira, Matosinhos, Porto",70,,sim,T2,Apartamento T2 em Leça da Palmeira
https://www.imovirtual.com/pt/anuncio/apartamento-t4-exclusivo-com-terraco-no-the-avenue-nas-antas-ID1id95,950000,"Avenida Combatentes da Grande Guerra, Combatentes - Costa Cabral, Paranhos, Porto, Porto",216,0,sim,T4,Apartamento T4 Exclusivo com Terraço no The Avenue nas Antas
https://www.imovirtual.com/pt/anuncio/apartamento-t4-ultimo-andar-no-empreendimento-na-rua-brito-capelo-ID1id91,1450000,"Rua Brito e Cunha, Matosinhos Sul - Marginal, Matosinhos e Leça da Palmeira, Matosinhos, Porto",167,4,sim,T4,Apartamento T4 - Ultimo andar no empreendimento na Rua Brito Capelo
https://www.imovirtual.com/pt/anuncio/magnolias-plaza-apartamento-t2-c-varanda-em-construcao-maia-ID1i7Bm,341000,"Águas Santas, Maia, Porto",101,4,sim,T2,Magnólias Plaza - Apartamento T2 - c/ varanda - Em Construção - Maia
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-construcao-na-foz-ID1id90,850000,"Rua de Fez, Aviz - Cristo Rei, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",102,1,ar condicionado,T2,Apartamento T2 em Construção na Foz
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id8Q,725000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,5,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/t2-renovado-c-lugar-de-garagem-na-alameda-jardins-da-arrabida-ID1ibGo,365000,"Alameda dos Jardins da Arrábida, Afurada - Arrábida - Cavaco, Santa Marinha e São Pedro da Afurada, Vila Nova de Gaia, Porto",105,5,sim,T2,T2 Renovado c/ Lugar de Garagem na Alameda Jardins da Arrábida
https://www.imovirtual.com/pt/anuncio/apartamento-t1-1-com-varanda-em-guifoes-matosinhos-ID1hmkZ,265000,"Travessa Monte da Terra, Guifões, Custóias, Leça do Balio e Guifões, Matosinhos, Porto",67,1,sim,T1,"Apartamento T1+1 com varanda em Guifões, Matosinhos"
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id8A,655000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,4,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/apartamento-t4-duplex-sao-felix-da-marinha-ID1id8y,1450000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",209,5,não,T4,APARTAMENTO T4 DUPLEX SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/apartamneto-t1-1-com-varanda-e-garagem-ao-polo-universitario-ID1hVh5,275000,"Rua Coronel Almeida Valente, São João - Pólo Universitário - Asprela, Paranhos, Porto, Porto",53,3,sim,T1,Apartamneto T1+1 com varanda e garagem ao Polo Universitário.
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-terraco-no-the-avenue-nas-antas-porto-ID1id8o,750000,"Avenida Combatentes da Grande Guerra, Combatentes - Costa Cabral, Paranhos, Porto, Porto",189,0,sim,T3,"Apartamento T3 com Terraço no The Avenue nas Antas, Porto"
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id8l,655000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,4,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-pronto-a-habitar-elegancia-contemporanea-a-doi-ID1id8j,419000,"Rua Salvador Fernandes Caetano, Soares dos Reis - Rasa de Cima, Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",108,,não,T2,Apartamento T2 NOVO (pronto a habitar) — Elegância Contemporânea a Doi
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id8e,635000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,3,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/t2-novo-com-terraco-ermesinde-ID1hBOQ,310000,"Avenida Engenheiro Duarte Pacheco, Alfena, Valongo, Porto",96,0,sim,T2,T2 Novo com Terraço - Ermesinde
https://www.imovirtual.com/pt/anuncio/apartamento-t1-ID1gOMg,215000,"Rua Nova dos Moutidos, Águas Santas, Maia, Porto",58,0,sim,T1,Apartamento T1
https://www.imovirtual.com/pt/anuncio/apartamento-t0-1-ID1gYO9,217500,"Rua Fernando Carvalho de Sá, Moreira, Maia, Porto",45,1,sim,T0,Apartamento T0 +1
https://www.imovirtual.com/pt/anuncio/apartamento-t2-renovado-em-sao-cosme-gondomar-ID1id8c,260000,"Centro de Gondomar, Gondomar (São Cosme), Valbom e Jovim, Gondomar, Porto",95,,não,T2,Apartamento T2 Renovado em São Cosme (Gondomar)
https://www.imovirtual.com/pt/anuncio/apartamento-t2-ID1fYCz,410000,"Rua Padre António, Centro, Cidade da Maia, Maia, Porto",122,5,sim,T2,Apartamento T2
https://www.imovirtual.com/pt/anuncio/cubic-apartments-ii-ID1hN3h,3711,"Rua 5 de Outubro - Gueifães, Catassol - Maninhos, Cidade da Maia, Maia, Porto",,,,,
https://www.imovirtual.com/pt/anuncio/apartamento-t2-ID1ib5l,400000,"Rua 5 de Outubro - Gueifães, Catassol - Maninhos, Cidade da Maia, Maia, Porto",102,4,sim,T2,Apartamento T2
https://www.imovirtual.com/pt/anuncio/apartamento-t1-ID1hN3s,270000,"Rua 5 de Outubro - Gueifães, Catassol - Maninhos, Cidade da Maia, Maia, Porto",59,1,sim,T1,Apartamento T1
https://www.imovirtual.com/pt/anuncio/apartamento-t2-sao-felix-da-marinha-ID1id8a,520000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",106,3,não,T2,APARTAMENTO T2 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/magnolias-plaza-ID1hTI0,2809,"Rua das Tulipas, Águas Santas, Maia, Porto",,,,,
https://www.imovirtual.com/pt/anuncio/apartamento-t3-ID1hTIk,392500,"Rua das Tulipas, Águas Santas, Maia, Porto",139,2,sim,T3,Apartamento T3
https://www.imovirtual.com/pt/anuncio/apartamento-t3-ID1hTIg,412500,"Rua das Tulipas, Águas Santas, Maia, Porto",139,1,sim,T3,Apartamento T3
https://www.imovirtual.com/pt/anuncio/apartamento-t0-novo-com-varanda-no-porto-studios-city-on-ID1ibG2,199950,"Rua de Faria Guimarães, Marquês - Faria Guimarães, Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória, Porto, Porto",38,3,sim,T0,Apartamento T0 Novo com Varanda no Porto - Studios City On
https://www.imovirtual.com/pt/anuncio/apartamento-t2-no-edificio-o2-maia-ID1i3Ys,460000,"Rua Padre Luís de Campos, Centro, Cidade da Maia, Maia, Porto",100,5,sim,T2,Apartamento T2 no 'Edifício O2 Maia'
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-garagem-box-aguas-santas-maia-ID1hWBp,325000,"Águas Santas, Maia, Porto",126,,não,T3,"Apartamento T3 com Garagem Box | Águas Santas, Maia"
https://www.imovirtual.com/pt/anuncio/apartamento-t5-no-coracao-do-porto-campo-alegre-ID1hSkp,595000,"Rua do Campo Alegre, Campo Alegre, Lordelo do Ouro e Massarelos, Porto, Porto",232,3,sim,T5,Apartamento T5 no coração do Porto - Campo Alegre
https://www.imovirtual.com/pt/anuncio/apartamento-t1-novo-com-varanda-mafamude-vila-nova-de-gaia-ID1hWBC,230000,"Liceu - Paço do Rei, Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",62,,sim,T1,Apartamento T1 Novo com Varanda | Mafamude – Vila Nova de Gaia
https://www.imovirtual.com/pt/anuncio/apartamento-t3-sao-felix-da-marinha-ID1id85,590000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",130,2,não,T3,APARTAMENTO T3 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/t2-c-lugar-de-garagem-em-serzedo-ID1id83,237000,"Rua Doutor José Pinol, Serzedo, Serzedo e Perosinho, Vila Nova de Gaia, Porto",103,2,sim,T2,T2 c/ Lugar de Garagem em Serzedo
https://www.imovirtual.com/pt/anuncio/penthouse-t4-com-terraco-junto-ao-colegio-novo-da-maia-ID1i4DW,749000,"Rua Arquitecto Cassiano Branco, Milheirós, Maia, Porto",224,3,não,T4,Penthouse T4 com Terraço junto ao Colégio Novo da Maia
https://www.imovirtual.com/pt/anuncio/novo-apartamento-t2-com-varanda-e-garagem-no-gondomar-green-fanz-ID1id82,285000,"Rua Manuel Martins Cardoso, Fânzeres, Fânzeres e São Pedro da Cova, Gondomar, Porto",82,,sim,T2,*NOVO* - Apartamento T2 com varanda e garagem no Gondomar Green - Fânz
https://www.imovirtual.com/pt/anuncio/apartamento-t1-no-edificio-akuas-residence-ID1i4XF,230000,"Rua Joaquim de Vasconcelos, Águas Santas, Maia, Porto",69,,sim,T1,Apartamento T1 no Edifício 'Ákuas Residence'
https://www.imovirtual.com/pt/anuncio/apartamento-t2-av-de-francelos-ID1id7Z,310000,"Francelos, Gulpilhares e Valadares, Vila Nova de Gaia, Porto",100,1,não,T2,"Apartamento t2, Av de Francelos"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-canelas-vila-nova-de-gaia-77-m-varanda-ID1id7V,239000,"Rua de Volfrâmio, Rechousa, Canelas, Vila Nova de Gaia, Porto",103,,não,T2,Apartamento T2 em Canelas – Vila Nova de Gaia | 77 m² |Varanda
https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-com-terraco-proximo-estadio-do-dragao-porto-ID1id7W,275000,"Rua de São Roque da Lameira, Antas - São Roque, Campanhã, Porto, Porto",84,0,não,T2,"Apartamento T2 novo com terraço próximo estádio do dragão, Porto"
https://www.imovirtual.com/pt/anuncio/novo-apartamento-t2-com-varanda-e-garagem-no-gondomar-green-fanz-ID1id7T,290000,"Rua Manuel Martins Cardoso, Fânzeres, Fânzeres e São Pedro da Cova, Gondomar, Porto",92,,sim,T2,*NOVO* - Apartamento T2 com varanda e garagem no Gondomar Green - Fânz
https://www.imovirtual.com/pt/anuncio/apartamento-t2-sao-felix-da-marinha-ID1id7S,520000,"Granja, São Félix da Marinha, Vila Nova de Gaia, Porto",106,1,não,T2,APARTAMENTO T2 SÃO FÉLIX DA MARINHA
https://www.imovirtual.com/pt/anuncio/apartamento-t3-ultimo-piso-empreendimento-eleven-ID1id7Q,610000,"Sete Bicas, São Mamede de Infesta e Senhora da Hora, Matosinhos, Porto",198,3,sim,T3,Apartamento T3 Último Piso » Empreendimento Eleven
https://www.imovirtual.com/pt/anuncio/apartamento-t2-com-garagem-fechada-frente-a-escola-c-s-sao-roma-ID1id7P,275000,"Coronado (São Romão e São Mamede), Trofa, Porto",102,2,sim,T2,Apartamento T2 com Garagem Fechada | Frente à Escola C+S | São Romã
https://www.imovirtual.com/pt/anuncio/venda-de-apartamento-t1-proximo-do-mar-em-vila-do-conde-ID1hGyO,260000,"Vila do Conde, Vila do Conde, Porto",48,,não,T1,"Venda de Apartamento T1 próximo do mar, em Vila do Conde"
https://www.imovirtual.com/pt/anuncio/excelente-t1-com-varanda-lugar-de-garagem-e-arrumos-centro-do-porto-ID1id7I,345000,"Rua da Fábrica Social, Marquês - Faria Guimarães, Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória, Porto, Porto",93,1,sim,T1,"Excelente T1 com Varanda, Lugar de Garagem e Arrumos - Centro do Porto"
https://www.imovirtual.com/pt/anuncio/novo-apartamento-t2-com-varanda-e-garagem-no-gondomar-green-fanz-ID1id7G,260000,"Rua Manuel Martins Cardoso, Fânzeres, Fânzeres e São Pedro da Cova, Gondomar, Porto",80,,sim,T2,*NOVO* - Apartamento T2 com varanda e garagem no Gondomar Green - Fânz
https://www.imovirtual.com/pt/anuncio/t2-perto-do-gaiashopping-ID1i6zv,419000,"Soares dos Reis - Rasa de Cima, Mafamude e Vilar do Paraíso, Vila Nova de Gaia, Porto",108,,não,T2,T2 perto do Gaiashopping
https://www.imovirtual.com/pt/anuncio/t3-foz-avenida-brasil-ID1bwWW,895000,"Rua Senhora da Luz, Foz Velha, Aldoar, Foz do Douro e Nevogilde, Porto, Porto",130,,sim,T3,T3 FOZ- AVENIDA BRASIL
https://www.imovirtual.com/pt/anuncio/t2-novo-com-terraco-ermesinde-ID1hLdh,310000,"Avenida da Primavera, Ermesinde, Valongo, Porto",106,0,sim,T2,T2 Novo com Terraço - Ermesinde
https://www.imovirtual.com/pt/anuncio/apartamento-85-m-ermesinde-ID1gVMp,245000,"Rua Doutor Faria Sampaio, Ermesinde, Valongo, Porto",85,1,sim,T2,"Apartamento, 85 m², Ermesinde"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-venda-em-vila-do-conde-vila-do-conde-ID1id6F,340000,"Vila do Conde, Vila do Conde, Porto",103,3,sim,T2,"Apartamento T2 Venda em Vila do Conde,Vila do Conde"
https://www.imovirtual.com/pt/anuncio/apartamento-t2-venda-em-santo-tirso-couto-santa-cristina-e-sao-migue-ID1id6G,330000,"St. Tirso, Couto (S. Cristina e S. Miguel) e Burgães, Santo Tirso, Porto",90,,sim,T2,"Apartamento T2 Venda em Santo Tirso, Couto (Santa Cristina e São Migue"
https://www.imovirtual.com/pt/anuncio/apartamento-t1-venda-em-vila-do-conde-vila-do-conde-ID1id6y,265000,"Vila do Conde, Vila do Conde, Porto",61,2,sim,T1,"Apartamento T1 Venda em Vila do Conde,Vila do Conde"
https://www.imovirtual.com/pt/anuncio/andar-moradia-t3-em-torrados-ID1hNAt,179000,"Rua de Torrados, Torrados e Sousa, Felgueiras, Porto",130,,não,T3,Andar moradia T3 em Torrados
https://www.imovirtual.com/pt/anuncio/t1-exclusivo-design-com-vistas-mar-em-vila-nova-de-gaia-ID1i7Mp,345000,"Lavadores, Canidelo, Vila Nova de Gaia, Porto",54,,não,T1,T1 Exclusivo Design com vistas Mar em Vila Nova de Gaia
