link,price_eur,region,sqm,floor,elevator,rooms,summary
https://www.imovirtual.com/pt/anuncio/t3-de-170m-com-suite-e-closet-varanda-2-estacionamentos-centro-ID1hVTr,299000,"Largo Rainha Dona Leonor, Aldeia Galega da Merceana e Aldeia Gavinha, Alenquer, Lisboa",160,1,não,T3,T3 de 170m² com Suite e Closet | Varanda | 2 Estacionamentos | Centro
https://www.imovirtual.com/pt/anuncio/t4-nova-construcao-bom-sucesso-alverca-ID1hVrX,560000,"Rua Ary dos Santos - Casal do Moledo, Bom Sucesso - Arcena, Alverca do Ribatejo e Sobralinho, Vila Franca de Xira, Lisboa",176,4,sim,T4,T4 Nova Construção - Bom Sucesso- Alverca
https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-santa-clara-lisboa-ID1i57R,489500,"Avenida Glicínia Quartin - Quinta do Grafanil, Ameixoeira, Santa Clara, Lisboa, Lisboa",109,4,garagem,T4,Apartamento T4 em Santa Clara - Lisboa
https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-alfragide-amadora-com-vista-para-o-rio-ID1i7fo,597700,"Praceta do Miradouro, Alfragide, Amadora, Lisboa",165,3,sim,T4,"Apartamento T4 em Alfragide, Amadora com Vista para o Rio"
https://www.imovirtual.com/pt/anuncio/apartamento-em-sao-domingos-benfica-ID1i3ow,640000,"Largo Pedro Correia Marques, Alto dos Moinhos, São Domingos de Benfica, Lisboa, Lisboa",137,7,sim,T2,Apartamento em São Domingos Benfica
https://www.imovirtual.com/pt/anuncio/malveira-centro-t2-a-estrear-com-terraco-e-garagem-ID1hRfH,426000,"Malveira, Malveira e São Miguel de Alcainça, Mafra, Lisboa",100,,ar condicionado,T2,Malveira - Centro - T2 a estrear com terraço e garagem
https://www.imovirtual.com/pt/anuncio/quinta-dos-barros-alvalade-ID1i6rO,580000,"Telheiras, Lumiar, Lisboa, Lisboa",95,1,sim,T3,Quinta dos Barros/ Alvalade
https://www.imovirtual.com/pt/anuncio/ericeira-praia-s-lourenco-t2-duplex-em-cima-da-praia-piscina-s-ID1hTQn,469000,"Centro da Vila, Ericeira, Mafra, Lisboa",90,1,não,T2,ERICEIRA -PRAIA S.LOURENÇO - T2 Duplex em cima da praia - Piscina s...
https://www.imovirtual.com/pt/anuncio/t2-totalmente-remodelado-com-2-suites-em-alges-entrega-maio-2026-ID1i4ea,450000,"Calçada do Rio, Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa",113,0,não,T2,T2 Totalmente Remodelado com 2 Suítes em Algés | Entrega Maio 2026
https://www.imovirtual.com/pt/anuncio/exclusivo-wl-apartamento-t3-com-terraco-churrasqueira-e-vista-ma-ID1id40,530000,"Ericeira Sul, Ericeira, Mafra, Lisboa",117,0,não,T3,"EXCLUSIVO WL - Apartamento T3 com terraço, churrasqueira e VISTA MA..."
https://www.imovirtual.com/pt/anuncio/apartamento-t3-com-estacionamento-e-arrecadacao-na-ramada-ID1i0z1,440000,"Avenida da Liberdade - Jardim da Radial, Ramada e Caneças, Odivelas, Lisboa",94,2,sim,T3,"Apartamento T3, com estacionamento e arrecadação, na Ramada"
https://www.imovirtual.com/pt/anuncio/t3-duplex-4-assoalhadas-principe-real-lisboa-ID1hH9e,749000,"Rua da Palmeira, Príncipe Real - São Bento, Misericórdia, Lisboa, Lisboa",100,3,não,T3,T3 Duplex (4 assoalhadas) - Príncipe Real - Lisboa
https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-paco-da-rainha-campo-martires-da-patria-ID1hVoG,629000,"Pena, Arroios, Lisboa, Lisboa",120,1,ar condicionado,T3,Apartamento T3 em Paço da Rainha / Campo Mártires da Pátria
